LAYER	BK	CH	VS	OL_REF	LANG	ACTION	EXPR_NO	TOKEN_POS	SOURCE_EXPRESSION	ORIGINAL_VALUES	FINAL_VALUES	RULE_CLASS	REASON	REVIEW_STATUS
AUDITED_OL_NORMALIZATION_MANIFEST				2CH 1:2	HEB	REPLACE_VERSE_VALUES			הָאֲלָפִ֨ים וְהַמֵּא֜וֹת	1100	1000;100	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 4:3	HEB	DROP_EXPR	1		מֵאֵ֖ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 4:28	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 5:15	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 6:33	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 8:14	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 9:32	HEB	REPLACE_VERSE_VALUES			שְׁנַ֥יִם שְׁלֹשָׁ֖ה	5	2;3	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 12:6	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 12:8	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 12:9	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 16:14	HEB	DROP_EXPR	1		מֵאֵת֙	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 20:9	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 22:4	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2KI 25:30	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 2:23	HEB	DROP_EXPR	1		הַחֹ֗מֶשׁ	1/5		LEXICAL_FALSE_POSITIVE	abdomen/belly noun, not one-fifth	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 3:27	HEB	DROP_EXPR	1		הַחֹ֔מֶשׁ	1/5		LEXICAL_FALSE_POSITIVE	abdomen/belly noun, not one-fifth	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 4:6	HEB	DROP_EXPR	1		הַחֹ֑מֶשׁ	1/5		LEXICAL_FALSE_POSITIVE	abdomen/belly noun, not one-fifth	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 15:3	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 18:4	HEB	REPLACE_VERSE_VALUES			לְמֵא֖וֹת וְלַאֲלָפִֽים׃	1100	100;1000	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 20:10	HEB	DROP_EXPR	1		הַחֹ֜מֶשׁ	1/5		LEXICAL_FALSE_POSITIVE	abdomen/belly noun, not one-fifth	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 21:12	HEB	DROP_EXPR	1		מֵאֵ֕ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 21:20	HEB	REPLACE_VERSE_VALUES			שֵׁ֣שׁ וָשֵׁ֗שׁ עֶשְׂרִ֤ים וְאַרְבַּע֙ | שֵׁ֣שׁ וָשֵׁ֗שׁ עֶשְׂרִ֤ים וְאַרְבַּע֙	6;30	6;6;24	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				2SA 23:13	HEB	REPLACE_VERSE_VALUES			שְׁלֹשָׁ֜ה מֵהַשְּׁלֹשִׁ֣ים	33	3;30	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DAN 1:10	HEB	DROP_EXPR	1		מִשְׁתֵּיכֶ֑ם	2		LEXICAL_FALSE_POSITIVE	drink/feasting noun, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DAN 1:16	HEB	DROP_EXPR	1		מִשְׁתֵּיהֶ֑ם	2		LEXICAL_FALSE_POSITIVE	drink/feasting noun, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DEU 2:8	HEB	DROP_EXPR	1		מֵאֵ֧ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DEU 14:22	HEB	REPLACE_EXPR	1		עַשֵּׂ֣ר	10	1/10	SEMANTIC_FRACTION	Verb denotes tithing/giving a tenth; normalize semantic quantity to 1/10.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DEU 18:3	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DEU 18:3	HEB	DROP_EXPR	2		מֵאֵ֛ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				DEU 32:30	HEB	REPLACE_VERSE_VALUES			אֶחָד֙ אֶ֔לֶף וּשְׁנַ֖יִם | רְבָבָ֑ה	1002;10000	1;1000;2;10000	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:6	HEB	DROP_EXPR	1		שֵׁ֑שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:6	HEB	DROP_EXPR	2		וָשֵׁ֖שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:9	HEB	DROP_EXPR	1		וַשְׁתִּ֣י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:11	HEB	DROP_EXPR	1		וַשְׁתִּ֧י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:12	HEB	DROP_EXPR	1		וַשְׁתִּ֗י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:15	HEB	DROP_EXPR	1		וַשְׁתִּ֑י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:16	HEB	DROP_EXPR	1		וַשְׁתִּ֣י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:17	HEB	DROP_EXPR	1		וַשְׁתִּ֧י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 1:19	HEB	DROP_EXPR	1		וַשְׁתִּ֗י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 2:1	HEB	DROP_EXPR	1		וַשְׁתִּי֙	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 2:4	HEB	DROP_EXPR	1		וַשְׁתִּ֑י	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 2:17	HEB	DROP_EXPR	1		וַשְׁתִּֽי׃	2		LEXICAL_FALSE_POSITIVE	proper name Vashti, not two	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EST 7:7	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 5:20	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 10:11	HEB	DROP_EXPR	1		מֵאֵ֖ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 11:2	HEB	DROP_EXPR	1		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 11:2	HEB	DROP_EXPR	2		מֵאֵ֣ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 12:40	HEB	REPLACE_VERSE_VALUES			שְׁלֹשִׁ֣ים | וְאַרְבַּ֥ע מֵא֖וֹת	30;400	430	SEMANTIC_COMPOUND	Multiple additive constituents form one semantic numeric quantity (age, duration, tribal count, or mixed fraction).	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 12:41	HEB	REPLACE_VERSE_VALUES			שְׁלֹשִׁ֣ים | וְאַרְבַּ֥ע מֵא֖וֹת	30;400	430	SEMANTIC_COMPOUND	Multiple additive constituents form one semantic numeric quantity (age, duration, tribal count, or mixed fraction).	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 13:19	HEB	DROP_EXPR	1		הַשְׁבֵּ֨עַ	7		LEXICAL_FALSE_POSITIVE	verb of swearing/adjuration, not seven	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 25:2	HEB	DROP_EXPR	1		מֵאֵ֤ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 25:4	HEB	DROP_EXPR	1		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 25:10	HEB	REPLACE_VERSE_VALUES			אַמָּתַ֨יִם וָחֵ֜צִי | וָחֵ֙צִי֙ | וָחֵ֖צִי	1;1/2;1/2	5/2;3/2;3/2	STRUCTURAL_COMPOSITION	Mixed-number dimensions: two-and-a-half, one-and-a-half, one-and-a-half.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 25:32	HEB	REPLACE_VERSE_VALUES			וְשִׁשָּׁ֣ה | שְׁלֹשָׁ֣ה_׀ | הָאֶחָ֔ד וּשְׁלֹשָׁה֙ | הַשֵּׁנִֽי׃	6;3;4;2	6;3;1;3;2	STRUCTURAL_COMPOSITION	Six branches; three on the first side and three on the second side; keep independent rank/count values.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 26:1	HEB	DROP_EXPR	2		שֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 26:5	HEB	REPLACE_VERSE_VALUES			חֲמִשִּׁ֣ים | הָאֶחָת֒ וַחֲמִשִּׁ֣ים | הַשֵּׁנִ֑ית	50;51;2	50;1;50;2	STRUCTURAL_COMPOSITION	Fifty loops on one curtain and fifty on the second; do not sum adjacent independent quantities.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 26:31	HEB	DROP_EXPR	1		וְשֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 26:36	HEB	DROP_EXPR	1		וְשֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 27:9	HEB	DROP_EXPR	1		שֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 27:16	HEB	DROP_EXPR	2		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 27:18	HEB	DROP_EXPR	5		שֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 27:21	HEB	DROP_EXPR	1		מֵאֵ֖ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:6	HEB	DROP_EXPR	1		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:8	HEB	DROP_EXPR	1		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:15	HEB	DROP_EXPR	1		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:21	HEB	REPLACE_VERSE_VALUES			שְׁתֵּ֥ים עֶשְׂרֵ֖ה | לִשְׁנֵ֥י עָשָׂ֖ר | לִשְׁנֵ֥י עָשָׂ֖ר	12;2;10	12;12	STRUCTURAL_COMPOSITION	Both phrases שְׁתֵּים/שְׁנֵי עָשָׂר are the compound numeral twelve.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:39	HEB	DROP_EXPR	1		שֵׁ֔שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 28:39	HEB	DROP_EXPR	2		שֵׁ֑שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 29:28	HEB	DROP_EXPR	1		מֵאֵת֙	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 29:28	HEB	DROP_EXPR	2		מֵאֵ֤ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 30:16	HEB	DROP_EXPR	1		מֵאֵת֙	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 35:6	HEB	DROP_EXPR	1		וְשֵׁ֥שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 35:23	HEB	DROP_EXPR	1		וְשֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 36:8	HEB	DROP_EXPR	2		שֵׁ֣שׁ	6		LEXICAL_FALSE_POSITIVE	Context identifies שֵׁשׁ as fine linen/cotton/marble material, not the numeral six.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				EXO 36:12	HEB	REPLACE_VERSE_VALUES			חֲמִשִּׁ֣ים | הָאֶחָת֒ וַחֲמִשִּׁ֣ים | הַשֵּׁנִ֑ית | אַחַ֖ת | אֶחָֽת׃	50;51;2;1;1	50;1;50;2;1;1	STRUCTURAL_COMPOSITION	Parallel loop construction: preserve 50/one/50/second and the final one-to-one relation.	CONFIRMED
