BK	CH	VS	OL_REF	CLASS	NIV_FOOTNOTE	MANUSCRIPT_EVIDENCE	CRITICAL_TEXT_POSITION	MAJORITY_SCHOLARSHIP_POSITION	SCHOLARSHIP_STATUS	OL_VALUE_RESEARCHED	NIV_VALUE_RESEARCHED	APOLOGETIC_SUMMARY	TEXTUAL_CRITICAL_NOTE	SOURCE_IDS
2KI	25	3	2KI 25:3	PARALLEL_PASSAGE_RECONSTRUCTION	Probable reading of the original Hebrew text (see Jer. 52:6 ); Masoretic Text does not have fourth .	MT gives the ninth day but lacks the word fourth; Jer 52:6 explicitly supplies the fourth month.	NIV supplies fourth from the parallel. NET notes that almost all English translations make this reconstruction.	The reconstruction fourth is overwhelmingly standard in modern translation practice, while remaining absent from MT 2 Kings 25:3.	NIV_FAVORED_RECONSTRUCTION	9	9;4	NIV makes an explicit parallel-passage restoration of omitted information; SAGE does not insert fourth into the OL value.	Parallel Passage Reconstruction — configured OL reads 9; NIV reads 9;4. MT gives the ninth day but lacks the word fourth; Jer 52:6 explicitly supplies the fourth month. Scholarship: The reconstruction fourth is overwhelmingly standard in modern translation practice, while remaining absent from MT 2 Kings 25:3. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2KI253
1CH	25	9	1CH 25:9	STRUCTURAL_RECONSTRUCTION	See Septuagint; Hebrew does not have his sons and relatives. | See the total in verse 7; Hebrew does not have twelve.	Hebrew lacks the first group formula “his sons and relatives” and twelve; Septuagint supports part of the restoration. NIV footnote also appeals to the total in v.7.	The repeated formula in vv.10-31 and the required total of 288 strongly support supplying twelve for the first group.	Structural reconstruction is strongly favored for coherence, but the supplied number is not directly present in the configured Hebrew verse.	STRUCTURAL_RECONSTRUCTION	1;2;12	1;12;2;12	NIV transparently restores a repeated-list element needed for the stated total; SAGE retains the OL omission/value sequence and labels the restoration.	Structural Reconstruction — configured OL reads 1;2;12; NIV reads 1;12;2;12. Hebrew lacks the first group formula “his sons and relatives” and twelve; Septuagint supports part of the restoration. NIV footnote also appeals to the total in v.7. Scholarship: Structural reconstruction is strongly favored for coherence, but the supplied number is not directly present in the configured Hebrew verse. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_1CH259
2CH	3	4	2CH 3:4	ATTESTED_TEXTUAL_VARIANT	Some Septuagint and Syriac manuscripts; Hebrew and a hundred and twenty	MT reads 120 cubits; an ancient Greek witness and Syriac read 20 cubits.	The lower reading fits the temple dimensions; NET proposes that Hebrew “hundred” may reflect corruption of “cubits.”	Modern critical judgment substantially favors 20, though the MT reading remains in the Hebrew tradition and some translations.	NIV_FAVORED	20;120	20;20	NIV 20 has ancient witness support and architectural coherence. SAGE preserves OL 120 and marks the variant rather than normalizing OL to NIV.	Attested Textual Variant — configured OL reads 20;120; NIV reads 20;20. MT reads 120 cubits; an ancient Greek witness and Syriac read 20 cubits. Scholarship: Modern critical judgment substantially favors 20, though the MT reading remains in the Hebrew tradition and some translations. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2CH34
2CH	22	2	2CH 22:2	ATTESTED_TEXTUAL_VARIANT	Some Septuagint manuscripts and Syriac (see also 2 Kings 8:26 ); Hebrew forty-two	MT reads 42; some Septuagint manuscripts and Syriac, together with 2 Kings 8:26, read 22.	NIV follows 22, which agrees with the Kings parallel and resolves the chronological problem in 42.	Modern critical judgment strongly favors 22.	NIV_FAVORED	42;1	22;1	NIV 22 is supported by ancient versions and the parallel account; OL 42 remains the configured authority reading.	Attested Textual Variant — configured OL reads 42;1; NIV reads 22;1. MT reads 42; some Septuagint manuscripts and Syriac, together with 2 Kings 8:26, read 22. Scholarship: Modern critical judgment strongly favors 22. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2CH222
2CH	36	9	2CH 36:9	ATTESTED_TEXTUAL_VARIANT	One Hebrew manuscript, some Septuagint manuscripts and Syriac (see also 2 Kings 24:8 ); most Hebrew manuscripts eight	Most Hebrew manuscripts read 8; one Hebrew manuscript, some Septuagint manuscripts and Syriac, plus 2 Kings 24:8, support 18.	NIV follows 18, matching the Kings parallel and ancient witnesses despite the Hebrew manuscript majority for 8.	Modern critical judgment commonly favors 18; manuscript majority alone favors OL 8.	NIV_FAVORED	8;3;10	18;3;10	NIV 18 is not unsupported: it has Hebrew/ancient-version attestation and the parallel. SAGE keeps OL 8 as Authority 1.	Attested Textual Variant — configured OL reads 8;3;10; NIV reads 18;3;10. Most Hebrew manuscripts read 8; one Hebrew manuscript, some Septuagint manuscripts and Syriac, plus 2 Kings 24:8, support 18. Scholarship: Modern critical judgment commonly favors 18; manuscript majority alone favors OL 8. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2CH369
NEH	7	68		ATTESTED_VERSE_OMISSION_ADDITION	Some Hebrew manuscripts (see also Ezra 2:66 ); most Hebrew manuscripts do not have this verse.	Most Hebrew manuscripts omit the Western verse; some Hebrew manuscripts include it. Ezra 2:66, 1 Esdras, LXX and Vulgate support the animal-count line.	Inclusion may preserve an early reading lost by eye-skip, but early interpolation from Ezra is also possible.	No clear critical majority should be asserted. The Hebrew manuscript majority omits the verse, while substantial early external and parallel evidence supports inclusion.	DIVIDED		736;245	NIV includes an anciently supported line while footnoting the Hebrew omission. SAGE records the Western verse with no configured OL verse/value rather than manufacturing OL evidence.	Attested Verse Omission Addition — configured OL reads [no mapped OL numeric verse]; NIV reads 736;245. Most Hebrew manuscripts omit the Western verse; some Hebrew manuscripts include it. Ezra 2:66, 1 Esdras, LXX and Vulgate support the animal-count line. Scholarship: No clear critical majority should be asserted. The Hebrew manuscript majority omits the verse, while substantial early external and parallel evidence supports inclusion. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;CAM_NEH7
EZK	26	1	EZK 26:1	CONJECTURAL_DATE_RECONSTRUCTION	Probable reading of the original Hebrew text; Masoretic Text does not have month of the twelfth .	MT has eleventh year and first day but no month number. NIV supplies twelfth month as a probable reconstruction; proposed ancient evidence/reconstructions vary.	Date formulae normally contain a month, but the exact restoration is uncertain; proposals cited in scholarship are not uniform.	No secure majority reconstruction exists for the missing month.	RECONSTRUCTED_BUT_NOT_SECURE	11;1	11;12;1	NIV signals a probable restoration of a defective date formula. SAGE keeps only the explicit OL numerals and labels the supplied month conjectural.	Conjectural Date Reconstruction — configured OL reads 11;1; NIV reads 11;12;1. MT has eleventh year and first day but no month number. NIV supplies twelfth month as a probable reconstruction; proposed ancient evidence/reconstructions vary. Scholarship: No secure majority reconstruction exists for the missing month. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_EZK261
EZK	40	49	EZK 40:49	ATTESTED_TEXTUAL_VARIANT	Septuagint; Hebrew eleven | Hebrew; Septuagint Ten steps led up to it	MT reads 11 cubits; Septuagint reads 12. NIV follows 12.	Twelve fits the larger architectural dimensions, but the Hebrew Old Testament Text Project recommendation cited by UBS retains 11.	Scholarly judgment is genuinely divided: structural arguments favor 12, while a major textual project retains 11.	DIVIDED	20;11;1;1	20;12	NIV 12 is an attested, structurally coherent reading, but SAGE must not treat it as an uncontested correction of OL 11.	Attested Textual Variant — configured OL reads 20;11;1;1; NIV reads 20;12. MT reads 11 cubits; Septuagint reads 12. NIV follows 12. Scholarship: Scholarly judgment is genuinely divided: structural arguments favor 12, while a major textual project retains 11. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;TIPS_EZK4049
EZK	42	4	EZK 42:4	ATTESTED_TEXTUAL_VARIANT	Septuagint and Syriac; Hebrew and one cubit	MT has one cubit in the disputed length expression; Septuagint and Syriac read 100 cubits.	Many commentators prefer 100 as the natural corridor length; other interpreters defend a construction based on the Hebrew one-cubit wording.	No clear majority should be asserted from the accessible evidence; the critical tradition is divided.	DIVIDED	10;1	10;100	NIV 100 has strong ancient versional support and spatial plausibility; SAGE preserves OL one and marks the variant.	Attested Textual Variant — configured OL reads 10;1; NIV reads 10;100. MT has one cubit in the disputed length expression; Septuagint and Syriac read 100 cubits. Scholarship: No clear majority should be asserted from the accessible evidence; the critical tradition is divided. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;BH_EZK424
EZK	45	1	EZK 45:1	ATTESTED_TEXTUAL_VARIANT	Septuagint (see also verses 3|EZK 45:3 and 5|EZK 45:5 and 48:9 ); Hebrew 10,000	MT reads width 10,000; Septuagint reads 20,000. NIV follows the Septuagint and points to internal parallels in the chapter and 48:9.	The 20,000 width fits the surrounding district dimensions and is widely adopted in modern critical translations.	Modern critical judgment strongly favors 20,000, although the configured MT reads 10,000.	NIV_FAVORED	25000;10000	25000;20000	NIV 20,000 has ancient witness and internal dimensional support. SAGE records the configured OL 10,000 unchanged.	Attested Textual Variant — configured OL reads 25000;10000; NIV reads 25000;20000. MT reads width 10,000; Septuagint reads 20,000. NIV follows the Septuagint and points to internal parallels in the chapter and 48:9. Scholarship: Modern critical judgment strongly favors 20,000, although the configured MT reads 10,000. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_EZK451
EZK	45	5	EZK 45:5	ATTESTED_CLAUSE_LEVEL_TEXTUAL_VARIANT	Septuagint; Hebrew temple; they will have as their possession 20 rooms	The MT clause includes “twenty” in a difficult reading; Septuagint has a clause about cities in which the Levites will live, omitting that numeric element.	NIV follows the LXX clause. Critical commentaries frequently treat the MT wording as corrupt/difficult rather than as a simple numeric substitution.	Modern critical treatment leans toward the LXX-like clause, but this is a clause-level reconstruction rather than a direct 20-versus-X number variant.	NIV_FAVORED	25000;10000;20	25000;10000	NIV follows an attested alternative clause that removes the problematic numeric expression. SAGE retains OL 20 and describes the clause-level basis explicitly.	Attested Clause Level Textual Variant — configured OL reads 25000;10000;20; NIV reads 25000;10000. The MT clause includes “twenty” in a difficult reading; Septuagint has a clause about cities in which the Levites will live, omitting that numeric element. Scholarship: Modern critical treatment leans toward the LXX-like clause, but this is a clause-level reconstruction rather than a direct 20-versus-X number variant. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_EZK455
