BK	CH	VS	OL_REF	LANG	TOKEN_NO	TOKEN	CANON_TOKEN	ATOM_VALUE	ATOM_TYPE	STATUS	REASON	SEED_LEXEME_OCCURRENCES	OL_TEXT	COVERAGE_CLASS	SEMANTIC_VALUE	AUDIT_REASON
1CO	12	13	1CO 12:13	GRK	9	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ γὰρ ἐν ἑνὶ πνεύματι ἡμεῖς πάντες εἰς ἓν σῶμα ἐβαπτίσθημεν, εἴτε Ἰουδαῖοι εἴτε Ἕλληνες εἴτε δοῦλοι εἴτε ἐλεύθεροι, καὶ πάντες ἓν πνεῦμα ἐποτίσθημεν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	13	1CO 12:13	GRK	22	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ γὰρ ἐν ἑνὶ πνεύματι ἡμεῖς πάντες εἰς ἓν σῶμα ἐβαπτίσθημεν, εἴτε Ἰουδαῖοι εἴτε Ἕλληνες εἴτε δοῦλοι εἴτε ἐλεύθεροι, καὶ πάντες ἓν πνεῦμα ἐποτίσθημεν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	14	1CO 12:14	GRK	7	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ γὰρ τὸ σῶμα οὐκ ἔστιν ἓν μέλος ἀλλὰ πολλά.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	18	1CO 12:18	GRK	8	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	νυνὶ δὲ ὁ θεὸς ἔθετο τὰ μέλη, ἓν ἕκαστον αὐτῶν ἐν τῷ σώματι καθὼς ἠθέλησεν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	19	1CO 12:19	GRK	6	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	εἰ δὲ ἦν τὰ πάντα ἓν μέλος, ποῦ τὸ σῶμα;	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	20	1CO 12:20	GRK	6	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	νῦν δὲ πολλὰ μὲν μέλη, ἓν δὲ σῶμα.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	26	1CO 12:26	GRK	4	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ εἴτε πάσχει ἓν μέλος, συμπάσχει πάντα τὰ μέλη· εἴτε δοξάζεται [ἓν] μέλος, συγχαίρει πάντα τὰ μέλη.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	26	1CO 12:26	GRK	12	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ εἴτε πάσχει ἓν μέλος, συμπάσχει πάντα τὰ μέλη· εἴτε δοξάζεται [ἓν] μέλος, συγχαίρει πάντα τὰ μέλη.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1JN	5	8	1JN 5:8	GRK	14	ἕν	ἕν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	τὸ πνεῦμα καὶ τὸ ὕδωρ καὶ τὸ αἷμα, καὶ οἱ τρεῖς εἰς τὸ ἕν εἰσιν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1KI	1	15	1KI 1:15	HEB	3	שֶׁ֤בֶע	שֶׁבֶע	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַתָּבֹ֨א בַת־שֶׁ֤בֶע אֶל־הַמֶּ֙לֶךְ֙ הַחַ֔דְרָה וְהַמֶּ֖לֶךְ זָקֵ֣ן מְאֹ֑ד וַֽאֲבִישַׁג֙ הַשּׁ֣וּנַמִּ֔ית מְשָׁרַ֖ת אֶת־הַמֶּֽלֶךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	1	25	1KI 1:25	HEB	19	וְשֹׁתִ֖ים	וְשֹׁתִים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	כִּ֣י_׀ יָרַ֣ד הַיּ֗וֹם וַ֠יִּזְבַּח שׁ֥וֹר וּֽמְרִיא־וְצֹאן֮ לָרֹב֒ וַיִּקְרָא֩ לְכָל־בְּנֵ֨י הַמֶּ֜לֶךְ וּלְשָׂרֵ֤י הַצָּבָא֙ וּלְאֶבְיָתָ֣ר הַכֹּהֵ֔ן וְהִנָּ֛ם אֹכְלִ֥ים וְשֹׁתִ֖ים לְפָנָ֑יו וַיֹּ֣אמְר֔וּ יְחִ֖י הַמֶּ֥לֶךְ אֲדֹנִיָּֽהוּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	1	28	1KI 1:28	HEB	8	שָׁ֑בַע	שָׁבַע	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּ֨עַן הַמֶּ֤לֶךְ דָּוִד֙ וַיֹּ֔אמֶר קִרְאוּ־לִ֖י לְבַת־שָׁ֑בַע וַתָּבֹא֙ לִפְנֵ֣י הַמֶּ֔לֶךְ וַֽתַּעֲמֹ֖ד לִפְנֵ֥י הַמֶּֽלֶךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	4	20	1KI 4:20	HEB	10	וְשֹׁתִ֖ים	וְשֹׁתִים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	יְהוּדָ֤ה וְיִשְׂרָאֵל֙ רַבִּ֔ים כַּח֥וֹל אֲשֶׁר־עַל־הַיָּ֖ם לָרֹ֑ב אֹכְלִ֥ים וְשֹׁתִ֖ים וּשְׂמֵחִֽים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	6	8	1KI 6:8	HEB	15	הַשְּׁלִשִֽׁים׃	הַשְּׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	פֶּ֗תַח הַצֵּלָע֙ הַתִּ֣יכֹנָ֔ה אֶל־כֶּ֥תֶף הַבַּ֖יִת הַיְמָנִ֑ית וּבְלוּלִּ֗ים יַֽעֲלוּ֙ עַל־הַתִּ֣יכֹנָ֔ה וּמִן־הַתִּֽיכֹנָ֖ה אֶל־הַשְּׁלִשִֽׁים׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1KI	13	6	1KI 13:6	HEB	29	כְּבָרִֽאשֹׁנָֽה׃	כְּבָרִאשֹׁנָה	1	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּ֨עַן הַמֶּ֜לֶךְ וַיֹּ֣אמֶר_׀ אֶל־אִ֣ישׁ הָאֱלֹהִ֗ים חַל־נָ֞א אֶת־פְּנֵ֨י יְהוָ֤ה אֱלֹהֶ֙יךָ֙ וְהִתְפַּלֵּ֣ל בַּעֲדִ֔י וְתָשֹׁ֥ב יָדִ֖י אֵלָ֑י וַיְחַ֤ל אִישׁ־הָֽאֱלֹהִים֙ אֶת־פְּנֵ֣י יְהוָ֔ה וַתָּ֤שָׁב יַד־הַמֶּ֙לֶךְ֙ אֵלָ֔יו וַתְּהִ֖י כְּבָרִֽאשֹׁנָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	22	7	1KI 22:7	HEB	9	מֵאוֹתֽוֹ׃	מֵאוֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֙אמֶר֙ יְה֣וֹשָׁפָ֔ט הַאֵ֨ין פֹּ֥ה נָבִ֛יא לַיהוָ֖ה ע֑וֹד וְנִדְרְשָׁ֖ה מֵאוֹתֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1KI	22	8	1KI 22:8	HEB	12	מֵאֹת֜וֹ	מֵאֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֣אמֶר מֶֽלֶךְ־יִשְׂרָאֵ֣ל_׀ אֶֽל־יְהוֹשָׁפָ֡ט ע֣וֹד אִישׁ־אֶחָ֡ד לִדְרֹשׁ֩ אֶת־יְהוָ֨ה מֵאֹת֜וֹ וַאֲנִ֣י שְׂנֵאתִ֗יו כִּ֠י לֹֽא־יִתְנַבֵּ֨א עָלַ֥י טוֹב֙ כִּ֣י אִם־רָ֔ע מִיכָ֖יְהוּ בֶּן־יִמְלָ֑ה וַיֹּ֙אמֶר֙ יְה֣וֹשָׁפָ֔ט אַל־יֹאמַ֥ר הַמֶּ֖לֶךְ כֵּֽן׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	2	5	1SA 2:5	HEB	1	שְׂבֵעִ֤ים	שְׂבֵעִים	70	cardinal	NOVEL_NUMERIC_CANDIDATE		0	שְׂבֵעִ֤ים בַּלֶּ֙חֶם֙ נִשְׂכָּ֔רוּ וּרְעֵבִ֖ים חָדֵ֑לּוּ עַד־עֲקָרָה֙ יָלְדָ֣ה שִׁבְעָ֔ה וְרַבַּ֥ת בָּנִ֖ים אֻמְלָֽלָה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	2	13	1SA 2:13	HEB	16	הַשִּׁנַּ֖יִם	הַשִּׁנַּיִם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וּמִשְׁפַּ֥ט הַכֹּהֲנִ֖ים אֶת־הָעָ֑ם כָּל־אִ֞ישׁ זֹבֵ֣חַ זֶ֗בַח וּבָ֨א נַ֤עַר הַכֹּהֵן֙ כְּבַשֵּׁ֣ל הַבָּשָׂ֔ר וְהַמַּזְלֵ֛ג שְׁלֹ֥שׁ־הַשִּׁנַּ֖יִם בְּיָדֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	3	18	1SA 3:18	HEB	8	כִחֵ֖ד	כִחֵד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּגֶּד־ל֤וֹ שְׁמוּאֵל֙ אֶת־כָּל־הַדְּבָרִ֔ים וְלֹ֥א כִחֵ֖ד מִמֶּ֑נּוּ וַיֹּאמַ֕ר יְהוָ֣ה ה֔וּא הַטּ֥וֹב בְּעֵינָ֖ו יַעֲשֶֽׂה׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	9	4	1SA 9:4	HEB	6	שָׁלִ֖שָׁה	שָׁלִשָׁה	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיַּעֲבֹ֧ר בְּהַר־אֶפְרַ֛יִם וַיַּעֲבֹ֥ר בְּאֶֽרֶץ־שָׁלִ֖שָׁה וְלֹ֣א מָצָ֑אוּ וַיַּעַבְר֤וּ בְאֶֽרֶץ־שַׁעֲלִים֙ וָאַ֔יִן וַיַּעֲבֹ֥ר בְּאֶֽרֶץ־יְמִינִ֖י וְלֹ֥א מָצָֽאוּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	10	19	1SA 10:19	HEB	24	וּלְאַלְפֵיכֶֽם׃	וּלְאַלְפֵיכֶם	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	וְאַתֶּ֨ם הַיּ֜וֹם מְאַסְתֶּ֣ם אֶת־אֱלֹהֵיכֶ֗ם אֲשֶׁר־ה֣וּא מוֹשִׁ֣יעַ לָכֶם֮ מִכָּל־רָעוֹתֵיכֶ֣ם וְצָרֹֽתֵיכֶם֒ וַתֹּ֣אמְרוּ ל֔וֹ כִּי־מֶ֖לֶךְ תָּשִׂ֣ים עָלֵ֑ינוּ וְעַתָּ֗ה הִֽתְיַצְּבוּ֙ לִפְנֵ֣י יְהוָ֔ה לְשִׁבְטֵיכֶ֖ם וּלְאַלְפֵיכֶֽם׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	14	26	1SA 14:26	HEB	17	הַשְּׁבֻעָֽה׃	הַשְּׁבֻעָה	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיָּבֹ֤א הָעָם֙ אֶל־הַיַּ֔עַר וְהִנֵּ֖ה הֵ֣לֶךְ דְּבָ֑שׁ וְאֵין־מַשִּׂ֤יג יָדוֹ֙ אֶל־פִּ֔יו כִּֽי־יָרֵ֥א הָעָ֖ם אֶת־הַשְּׁבֻעָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	17	36	1SA 17:36	HEB	12	כְּאַחַ֣ד	כְּאַחַד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	גַּ֧ם אֶֽת־הָאֲרִ֛י גַּם־הַדּ֖וֹב הִכָּ֣ה עַבְדֶּ֑ךָ וְֽ֠הָיָה הַפְּלִשְׁתִּ֨י הֶעָרֵ֤ל הַזֶּה֙ כְּאַחַ֣ד מֵהֶ֔ם כִּ֣י חֵרֵ֔ף מַעַרְכֹ֖ת אֱלֹהִ֥ים חַיִּֽים׃ ס	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	18	6	1SA 18:6	HEB	21	וּבְשָׁלִשִֽׁים׃	וּבְשָׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְהִ֣י בְּבוֹאָ֗ם בְּשׁ֤וּב דָּוִד֙ מֵהַכּ֣וֹת אֶת־הַפְּלִשְׁתִּ֔י וַתֵּצֶ֨אנָה הַנָּשִׁ֜ים מִכָּל־עָרֵ֤י יִשְׂרָאֵל֙ *לָשׁוּר **לָשִׁ֣יר וְהַמְּחֹל֔וֹת לִקְרַ֖את שָׁא֣וּל הַמֶּ֑לֶךְ בְּתֻפִּ֥ים בְּשִׂמְחָ֖ה וּבְשָׁלִשִֽׁים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1SA	18	7	1SA 18:7	HEB	8	בַּאֲלָפָ֔יו	בַּאֲלָפָיו	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	וַֽתַּעֲנֶ֛ינָה הַנָּשִׁ֥ים הַֽמְשַׂחֲק֖וֹת וַתֹּאמַ֑רְןָ הִכָּ֤ה שָׁאוּל֙ *בַּאֲלָפָו **בַּאֲלָפָ֔יו וְדָוִ֖ד בְּרִבְבֹתָֽיו׃	NUMERIC	1000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	18	7	1SA 18:7	HEB	10	בְּרִבְבֹתָֽיו׃	בְּרִבְבֹתָיו	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	וַֽתַּעֲנֶ֛ינָה הַנָּשִׁ֥ים הַֽמְשַׂחֲק֖וֹת וַתֹּאמַ֑רְןָ הִכָּ֤ה שָׁאוּל֙ *בַּאֲלָפָו **בַּאֲלָפָ֔יו וְדָוִ֖ד בְּרִבְבֹתָֽיו׃	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	20	19	1SA 20:19	HEB	1	וְשִׁלַּשְׁתָּ֙	וְשִׁלַּשְׁתָּ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְשִׁלַּשְׁתָּ֙ תֵּרֵ֣ד מְאֹ֔ד וּבָאתָ֙ אֶל־הַמָּק֔וֹם אֲשֶׁר־נִסְתַּ֥רְתָּ שָּׁ֖ם בְּי֣וֹם הַֽמַּעֲשֶׂ֑ה וְיָ֣שַׁבְתָּ֔ אֵ֖צֶל הָאֶ֥בֶן הָאָֽזֶל׃	NUMERIC	3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	21	12	1SA 21:12	HEB	18	בַּאֲלָפָ֔יו	בַּאֲלָפָיו	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמְר֜וּ עַבְדֵ֤י אָכִישׁ֙ אֵלָ֔יו הֲלוֹא־זֶ֥ה דָוִ֖ד מֶ֣לֶךְ הָאָ֑רֶץ הֲל֣וֹא לָזֶ֗ה יַעֲנ֤וּ בַמְּחֹלוֹת֙ לֵאמֹ֔ר הִכָּ֤ה שָׁאוּל֙ *בַּאֲלָפָו **בַּאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃	NUMERIC	1000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	21	12	1SA 21:12	HEB	20	בְּרִבְבֹתָו	בְּרִבְבֹתָו	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמְר֜וּ עַבְדֵ֤י אָכִישׁ֙ אֵלָ֔יו הֲלוֹא־זֶ֥ה דָוִ֖ד מֶ֣לֶךְ הָאָ֑רֶץ הֲל֣וֹא לָזֶ֗ה יַעֲנ֤וּ בַמְּחֹלוֹת֙ לֵאמֹ֔ר הִכָּ֤ה שָׁאוּל֙ *בַּאֲלָפָו **בַּאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃	QERE_SUPERSEDED		Ketiv form superseded by the explicit qere form in the supplied OL source; not double-counted.
