BK	CH	VS	OL_REF	OL_VALUES	ALT_NIV_VALUES	CLASS	SCHOLARSHIP_STATUS	FOOTNOTE_IF_TARGET_FOLLOWS_OL	FOOTNOTE_IF_TARGET_FOLLOWS_ALT	VALIDATION_IF_TARGET_FOLLOWS_OL	VALIDATION_IF_TARGET_FOLLOWS_ALT	SUGGESTED_NOTE_IF_OL_SELECTED	SUGGESTED_NOTE_IF_ALT_SELECTED	MANUSCRIPT_EVIDENCE	SCHOLARSHIP_POSITION	NIV_FOOTNOTE	SOURCE_IDS	SOURCE_URLS
2KI	25	3	2KI 25:3	9	9;4	PARALLEL_PASSAGE_RECONSTRUCTION	NIV_FAVORED_RECONSTRUCTION	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	The Hebrew text lacks the month number; fourth is supplied from the parallel in Jeremiah 52:6.	Fourth is not present in the Hebrew text here; it is supplied from Jeremiah 52:6.	MT gives the ninth day but lacks the word fourth; Jer 52:6 explicitly supplies the fourth month.	The reconstruction fourth is overwhelmingly standard in modern translation practice, while remaining absent from MT 2 Kings 25:3.	Probable reading of the original Hebrew text (see Jer. 52:6 ); Masoretic Text does not have fourth .	NIV_LOCAL;NET_2KI253	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/passage.php?passage=2Ki+25%3A3
1CH	25	9	1CH 25:9	1;2;12	1;12;2;12	STRUCTURAL_RECONSTRUCTION	STRUCTURAL_RECONSTRUCTION	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	The Hebrew text lacks the first group's twelve; the number is supplied from the repeated pattern and the total in verse 7.	Twelve is not explicit in the Hebrew text for the first group; it is reconstructed from the repeated pattern and the total in verse 7.	Hebrew lacks the first group formula “his sons and relatives” and twelve; Septuagint supports part of the restoration. NIV footnote also appeals to the total in v.7.	Structural reconstruction is strongly favored for coherence, but the supplied number is not directly present in the configured Hebrew verse.	See Septuagint; Hebrew does not have his sons and relatives. | See the total in verse 7; Hebrew does not have twelve.	NIV_LOCAL;NET_1CH259	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=1Ch&chapter=25&verse=9
2CH	3	4	2CH 3:4	20;120	20;20	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some Septuagint and Syriac manuscripts read 20 cubits; the Hebrew text reads 120 cubits.	Hebrew reads 120 cubits; some Septuagint and Syriac manuscripts read 20 cubits.	MT reads 120 cubits; an ancient Greek witness and Syriac read 20 cubits.	Modern critical judgment substantially favors 20, though the MT reading remains in the Hebrew tradition and some translations.	Some Septuagint and Syriac manuscripts; Hebrew and a hundred and twenty	NIV_LOCAL;NET_2CH34	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=2Ch&chapter=3&verse=4
2CH	22	2	2CH 22:2	42;1	22;1	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some Septuagint manuscripts, the Syriac and 2 Kings 8:26 read 22; the Hebrew text reads 42.	Hebrew reads 42; some ancient witnesses and 2 Kings 8:26 read 22.	MT reads 42; some Septuagint manuscripts and Syriac, together with 2 Kings 8:26, read 22.	Modern critical judgment strongly favors 22.	Some Septuagint manuscripts and Syriac (see also 2 Kings 8:26 ); Hebrew forty-two	NIV_LOCAL;NET_2CH222	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/passage.php?passage=2Ch+22%3A2
2CH	36	9	2CH 36:9	8;3;10	18;3;10	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	One Hebrew manuscript, some Septuagint manuscripts, the Syriac and 2 Kings 24:8 read 18; most Hebrew manuscripts read 8.	Most Hebrew manuscripts read 8; one Hebrew manuscript, ancient versions and 2 Kings 24:8 support 18.	Most Hebrew manuscripts read 8; one Hebrew manuscript, some Septuagint manuscripts and Syriac, plus 2 Kings 24:8, support 18.	Modern critical judgment commonly favors 18; manuscript majority alone favors OL 8.	One Hebrew manuscript, some Septuagint manuscripts and Syriac (see also 2 Kings 24:8 ); most Hebrew manuscripts eight	NIV_LOCAL;NET_2CH369	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=2Ch&chapter=36&verse=9
NEH	7	68			736;245	ATTESTED_VERSE_OMISSION_ADDITION	DIVIDED	REQUIRE	REQUIRE	NO_CONFIGURED_OL_READING	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Most Hebrew manuscripts omit this verse; some Hebrew manuscripts and ancient witnesses include it, in agreement with Ezra 2:66.	This verse is absent from most Hebrew manuscripts but is supported by some Hebrew manuscripts, ancient witnesses and Ezra 2:66.	Most Hebrew manuscripts omit the Western verse; some Hebrew manuscripts include it. Ezra 2:66, 1 Esdras, LXX and Vulgate support the animal-count line.	No clear critical majority should be asserted. The Hebrew manuscript majority omits the verse, while substantial early external and parallel evidence supports inclusion.	Some Hebrew manuscripts (see also Ezra 2:66 ); most Hebrew manuscripts do not have this verse.	NIV_LOCAL;CAM_NEH7	https://www.biblica.com/niv-bible/; https://biblehub.com/commentaries/cambridge/nehemiah/7.htm
EZK	26	1	EZK 26:1	11;1	11;12;1	CONJECTURAL_DATE_RECONSTRUCTION	RECONSTRUCTED_BUT_NOT_SECURE	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	The Hebrew text lacks the month number; twelfth is a proposed reconstruction of the date formula.	Twelfth is not present in the Hebrew text; it is a conjectural restoration of the date formula.	MT has eleventh year and first day but no month number. NIV supplies twelfth month as a probable reconstruction; proposed ancient evidence/reconstructions vary.	No secure majority reconstruction exists for the missing month.	Probable reading of the original Hebrew text; Masoretic Text does not have month of the twelfth .	NIV_LOCAL;NET_EZK261	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=Eze&chapter=26&verse=1
EZK	40	49	EZK 40:49	20;11;1;1	20;12	ATTESTED_TEXTUAL_VARIANT	DIVIDED	REQUIRE	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint reads 12 cubits; the Hebrew text reads 11 cubits. The textual evidence remains divided.	Hebrew reads 11 cubits; Septuagint reads 12 cubits. The textual evidence remains divided.	MT reads 11 cubits; Septuagint reads 12. NIV follows 12.	Scholarly judgment is genuinely divided: structural arguments favor 12, while a major textual project retains 11.	Septuagint; Hebrew eleven | Hebrew; Septuagint Ten steps led up to it	NIV_LOCAL;TIPS_EZK4049	https://www.biblica.com/niv-bible/; https://tips.translation.bible/story/translation-commentary-on-ezekiel-4049/
EZK	42	4	EZK 42:4	10;1	10;100	ATTESTED_TEXTUAL_VARIANT	DIVIDED	REQUIRE	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint and Syriac read 100 cubits; the Hebrew text reads one cubit. The textual evidence remains divided.	Hebrew reads one cubit; Septuagint and Syriac read 100 cubits. The textual evidence remains divided.	MT has one cubit in the disputed length expression; Septuagint and Syriac read 100 cubits.	No clear majority should be asserted from the accessible evidence; the critical tradition is divided.	Septuagint and Syriac; Hebrew and one cubit	NIV_LOCAL;BH_EZK424	https://www.biblica.com/niv-bible/; https://biblehub.com/commentaries/ezekiel/42-4.htm
EZK	45	1	EZK 45:1	25000;10000	25000;20000	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint and the surrounding dimensions support 20,000 cubits; the Hebrew text reads 10,000 cubits.	Hebrew reads 10,000 cubits; Septuagint and the surrounding dimensions support 20,000 cubits.	MT reads width 10,000; Septuagint reads 20,000. NIV follows the Septuagint and points to internal parallels in the chapter and 48:9.	Modern critical judgment strongly favors 20,000, although the configured MT reads 10,000.	Septuagint (see also verses 3|EZK 45:3 and 5|EZK 45:5 and 48:9 ); Hebrew 10,000	NIV_LOCAL;NET_EZK451	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=Eze&chapter=45&verse=1
EZK	45	5	EZK 45:5	25000;10000;20	25000;10000	ATTESTED_CLAUSE_LEVEL_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint has an alternative clause about towns for the Levites; the Hebrew text contains the difficult expression 'twenty rooms.'	Hebrew contains the difficult expression 'twenty rooms'; Septuagint has an alternative clause about towns for the Levites.	The MT clause includes “twenty” in a difficult reading; Septuagint has a clause about cities in which the Levites will live, omitting that numeric element.	Modern critical treatment leans toward the LXX-like clause, but this is a clause-level reconstruction rather than a direct 20-versus-X number variant.	Septuagint; Hebrew temple; they will have as their possession 20 rooms	NIV_LOCAL;NET_EZK455	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=Eze&chapter=45&verse=5
